,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Tidak Sekolah,Sekolah,Universitas
30717,36.01.17.2007,36.01.17,36.01,36,1088.0,2090.0,40.0
30718,36.01.17.2009,36.01.17,36.01,36,1106.0,2227.0,40.0
30719,36.01.17.2011,36.01.17,36.01,36,850.0,1869.0,30.0
30720,36.01.17.2013,36.01.17,36.01,36,753.0,1629.0,9.0
30721,36.01.18.2002,36.01.18,36.01,36,1280.0,2991.0,336.0
30722,36.01.18.2005,36.01.18,36.01,36,1095.0,2505.0,84.0
30723,36.01.18.2006,36.01.18,36.01,36,1318.0,3016.0,87.0
30724,36.01.18.2015,36.01.18,36.01,36,695.0,1644.0,60.0
30725,36.01.19.2002,36.01.19,36.01,36,618.0,1173.0,19.0
30726,36.01.19.2003,36.01.19,36.01,36,1512.0,3373.0,195.0
30727,36.01.19.2005,36.01.19,36.01,36,2026.0,3786.0,62.0
30728,36.01.19.2006,36.01.19,36.01,36,1133.0,2481.0,172.0
30729,36.01.19.2007,36.01.19,36.01,36,1271.0,3008.0,239.0
30730,36.01.19.2009,36.01.19,36.01,36,612.0,1534.0,38.0
30731,36.01.20.2005,36.01.20,36.01,36,520.0,1179.0,11.0
30732,36.01.20.2008,36.01.20,36.01,36,1223.0,2937.0,55.0
30733,36.01.20.2010,36.01.20,36.01,36,666.0,1671.0,96.0
30734,36.01.21.1003,36.01.21,36.01,36,1674.0,3806.0,80.0
30735,36.01.21.1004,36.01.21,36.01,36,2986.0,6737.0,780.0
30736,36.01.22.2005,36.01.22,36.01,36,841.0,1753.0,38.0
30737,36.01.22.2008,36.01.22,36.01,36,1334.0,3197.0,253.0
30738,36.01.23.2003,36.01.23,36.01,36,687.0,1513.0,139.0
30739,36.01.23.2005,36.01.23,36.01,36,437.0,1226.0,25.0
30740,36.01.23.2006,36.01.23,36.01,36,896.0,2228.0,135.0
30741,36.01.23.2008,36.01.23,36.01,36,555.0,1226.0,50.0
30742,36.01.24.2018,36.01.24,36.01,36,731.0,1509.0,25.0
30743,36.01.24.2014,36.01.24,36.01,36,995.0,2196.0,17.0
30744,36.01.24.2015,36.01.24,36.01,36,1031.0,2497.0,47.0
30745,36.01.24.2017,36.01.24,36.01,36,641.0,1458.0,21.0
30746,36.01.25.1001,36.01.25,36.01,36,2101.0,5308.0,578.0
30747,36.01.25.1003,36.01.25,36.01,36,2202.0,5172.0,332.0
30748,36.01.25.1014,36.01.25,36.01,36,2298.0,4899.0,173.0
30749,36.01.28.2001,36.01.28,36.01,36,1032.0,2798.0,77.0
30750,36.01.26.2002,36.01.26,36.01,36,685.0,1719.0,83.0
30751,36.01.26.2003,36.01.26,36.01,36,1491.0,3427.0,278.0
30752,36.01.26.2005,36.01.26,36.01,36,1493.0,3598.0,240.0
30753,36.01.26.2007,36.01.26,36.01,36,506.0,1393.0,57.0
30754,36.01.27.2004,36.01.27,36.01,36,1045.0,1966.0,66.0
30755,36.01.27.2008,36.01.27,36.01,36,474.0,1005.0,22.0
30756,36.01.27.2009,36.01.27,36.01,36,523.0,1055.0,35.0
30757,36.01.28.2008,36.01.28,36.01,36,597.0,1292.0,32.0
30758,36.01.28.2009,36.01.28,36.01,36,431.0,1081.0,26.0
30759,36.01.29.2001,36.01.29,36.01,36,572.0,1166.0,10.0
30760,36.01.33.2001,36.01.33,36.01,36,496.0,1210.0,52.0
30761,36.01.29.2010,36.01.29,36.01,36,974.0,2276.0,53.0
30762,36.04.35.2008,36.04.35,36.04,36,1182.0,2253.0,26.0
30763,36.01.30.2005,36.01.30,36.01,36,558.0,1307.0,12.0
30764,36.01.30.2007,36.01.30,36.01,36,518.0,1219.0,10.0
30765,36.01.30.2008,36.01.30,36.01,36,717.0,1536.0,11.0
30766,36.01.32.2007,36.01.32,36.01,36,923.0,1851.0,35.0
30767,36.01.31.2003,36.01.31,36.01,36,944.0,2403.0,112.0
30768,36.01.31.2005,36.01.31,36.01,36,545.0,1214.0,21.0
30769,36.01.31.2007,36.01.31,36.01,36,602.0,1469.0,28.0
30770,36.01.31.2008,36.01.31,36.01,36,718.0,1385.0,72.0
30771,36.01.32.2004,36.01.32,36.01,36,892.0,1998.0,137.0
30772,36.01.33.2003,36.01.33,36.01,36,396.0,826.0,16.0
30773,36.01.33.2006,36.01.33,36.01,36,584.0,1465.0,40.0
30774,36.01.33.2010,36.01.33,36.01,36,481.0,1036.0,20.0
30775,36.01.33.2011,36.01.33,36.01,36,384.0,897.0,9.0
30776,36.01.33.2012,36.01.33,36.01,36,358.0,800.0,17.0
30777,36.01.34.1001,36.01.34,36.01,36,3337.0,7494.0,1024.0
30778,36.01.35.2001,36.01.35,36.01,36,1833.0,3681.0,78.0
30779,36.02.09.2019,36.02.09,36.02,36,563.0,1620.0,27.0
30780,36.01.35.2002,36.01.35,36.01,36,1109.0,2754.0,84.0
30781,36.01.35.2004,36.01.35,36.01,36,1348.0,2906.0,96.0
30782,36.02.01.2013,36.02.01,36.02,36,1317.0,2866.0,81.0
30783,36.02.01.2014,36.02.01,36.02,36,2060.0,4363.0,126.0
30784,36.02.01.2018,36.02.01,36.02,36,1114.0,2635.0,302.0
30785,36.02.01.2023,36.02.01,36.02,36,1784.0,3668.0,136.0
30786,36.02.02.2002,36.02.02,36.02,36,981.0,2581.0,222.0
30787,36.02.02.2009,36.02.02,36.02,36,586.0,2104.0,8.0
30788,36.02.02.2011,36.02.02,36.02,36,1092.0,3023.0,86.0
30789,36.02.02.2017,36.02.02,36.02,36,471.0,1257.0,83.0
30790,36.02.09.2021,36.02.09,36.02,36,383.0,975.0,14.0
30791,36.02.02.2018,36.02.02,36.02,36,840.0,2102.0,150.0
30792,36.02.02.2019,36.02.02,36.02,36,509.0,1740.0,22.0
30793,36.02.03.2001,36.02.03,36.02,36,2119.0,4664.0,590.0
30794,36.02.03.2002,36.02.03,36.02,36,1369.0,3282.0,84.0
30795,36.02.03.2011,36.02.03,36.02,36,884.0,2034.0,72.0
30796,36.02.03.2013,36.02.03,36.02,36,1499.0,3694.0,161.0
30797,36.02.03.2014,36.02.03,36.02,36,760.0,2149.0,39.0
30798,36.02.03.2017,36.02.03,36.02,36,518.0,1496.0,40.0
30799,36.02.05.2006,36.02.05,36.02,36,786.0,1993.0,31.0
30800,36.02.03.2018,36.02.03,36.02,36,1164.0,2833.0,101.0
30801,36.02.04.2009,36.02.04,36.02,36,1028.0,2626.0,48.0
30802,36.02.04.2016,36.02.04,36.02,36,1097.0,2227.0,24.0
30803,36.02.04.2020,36.02.04,36.02,36,704.0,1634.0,20.0
30804,36.02.05.2003,36.02.05,36.02,36,870.0,1500.0,11.0
30805,36.02.05.2004,36.02.05,36.02,36,1204.0,2429.0,159.0
30806,36.02.05.2005,36.02.05,36.02,36,1057.0,2144.0,122.0
30807,36.02.05.2007,36.02.05,36.02,36,826.0,1827.0,17.0
30808,36.02.05.2008,36.02.05,36.02,36,1239.0,1874.0,29.0
30809,36.02.05.2012,36.02.05,36.02,36,983.0,2168.0,32.0
30810,36.02.05.2019,36.02.05,36.02,36,830.0,1796.0,24.0
30811,36.02.06.2004,36.02.06,36.02,36,1473.0,2979.0,65.0
30812,36.02.17.2011,36.02.17,36.02,36,868.0,1947.0,35.0
30813,36.02.06.2006,36.02.06,36.02,36,1163.0,1859.0,24.0
30814,36.02.06.2007,36.02.06,36.02,36,1703.0,3365.0,26.0
30815,36.02.06.2009,36.02.06,36.02,36,565.0,1259.0,18.0
30816,36.02.06.2010,36.02.06,36.02,36,1153.0,2701.0,91.0
30817,36.02.06.2011,36.02.06,36.02,36,1180.0,2297.0,36.0
30818,36.02.07.2004,36.02.07,36.02,36,763.0,1819.0,100.0
30819,36.02.07.2008,36.02.07,36.02,36,447.0,1257.0,9.0
30820,36.02.07.2012,36.02.07,36.02,36,1075.0,1642.0,19.0
30821,36.02.07.2014,36.02.07,36.02,36,898.0,1371.0,12.0
30822,36.02.09.2020,36.02.09,36.02,36,618.0,1360.0,8.0
30823,36.02.07.2017,36.02.07,36.02,36,426.0,725.0,11.0
30824,36.02.08.2001,36.02.08,36.02,36,1014.0,2404.0,194.0
30825,36.02.08.2002,36.02.08,36.02,36,649.0,1736.0,41.0
30826,36.02.08.2004,36.02.08,36.02,36,806.0,1818.0,11.0
30827,36.02.08.2005,36.02.08,36.02,36,1351.0,3001.0,76.0
30828,36.02.08.2009,36.02.08,36.02,36,657.0,1826.0,59.0
30829,36.02.09.2003,36.02.09,36.02,36,880.0,2276.0,62.0
30830,36.02.08.2011,36.02.08,36.02,36,1289.0,2422.0,57.0
30831,36.02.08.2012,36.02.08,36.02,36,473.0,1518.0,8.0
30832,36.02.09.2001,36.02.09,36.02,36,1021.0,2419.0,102.0
30833,36.02.09.2002,36.02.09,36.02,36,736.0,1677.0,58.0
30834,36.02.09.2004,36.02.09,36.02,36,616.0,1764.0,27.0
30835,36.02.09.2005,36.02.09,36.02,36,1152.0,2914.0,32.0
30836,36.02.09.2006,36.02.09,36.02,36,1404.0,3122.0,97.0
30837,36.02.09.2009,36.02.09,36.02,36,869.0,2562.0,138.0
30838,36.02.09.2011,36.02.09,36.02,36,681.0,2136.0,149.0
30839,36.02.09.2013,36.02.09,36.02,36,779.0,2437.0,39.0
30840,36.02.09.2014,36.02.09,36.02,36,736.0,2384.0,16.0
30841,36.02.09.2017,36.02.09,36.02,36,1005.0,2338.0,39.0
30842,36.02.10.2001,36.02.10,36.02,36,926.0,2695.0,49.0
30843,36.02.10.2003,36.02.10,36.02,36,971.0,2390.0,94.0
30844,36.02.10.2004,36.02.10,36.02,36,1234.0,2991.0,114.0
30845,36.02.12.2001,36.02.12,36.02,36,1176.0,2434.0,23.0
30846,36.02.10.2012,36.02.10,36.02,36,1622.0,4270.0,55.0
30847,36.02.11.2002,36.02.11,36.02,36,1361.0,2818.0,47.0
30848,36.02.11.2003,36.02.11,36.02,36,1488.0,3532.0,70.0
30849,36.02.12.2002,36.02.12,36.02,36,986.0,2118.0,107.0
30850,36.02.11.2005,36.02.11,36.02,36,1248.0,2879.0,93.0
30851,36.02.11.2009,36.02.11,36.02,36,1040.0,2497.0,6.0
30852,36.02.11.2010,36.02.11,36.02,36,1122.0,2323.0,26.0
30853,36.02.11.2012,36.02.11,36.02,36,1264.0,2653.0,21.0
30854,36.71.07.1003,36.71.07,36.71,36,3822.0,8581.0,2940.0
30855,36.02.11.2013,36.02.11,36.02,36,751.0,1778.0,13.0
30856,36.02.11.2014,36.02.11,36.02,36,1121.0,2535.0,101.0
