,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,POPULASI,JUMLAH_KK
31030,36.03.13.2004,36.03.13,36.03,36,12499.0,4326.0
31031,36.03.13.2008,36.03.13,36.03,36,3473.0,1243.0
31032,36.03.13.2009,36.03.13,36.03,36,6104.0,2199.0
31033,36.03.13.2011,36.03.13,36.03,36,8973.0,3152.0
31034,36.03.13.2012,36.03.13,36.03,36,6654.0,2386.0
31035,36.03.14.1010,36.03.14,36.03,36,18517.0,6353.0
31036,36.03.14.2002,36.03.14,36.03,36,9695.0,3307.0
31037,36.03.14.2007,36.03.14,36.03,36,11129.0,3802.0
31038,36.03.15.1001,36.03.15,36.03,36,10014.0,3488.0
31039,36.03.15.2005,36.03.15,36.03,36,4238.0,1477.0
31040,36.03.15.2009,36.03.15,36.03,36,6836.0,2424.0
31041,36.03.15.2010,36.03.15,36.03,36,7630.0,2576.0
31042,36.03.22.2012,36.03.22,36.03,36,5133.0,1659.0
31043,36.03.16.2004,36.03.16,36.03,36,6311.0,2325.0
31044,36.03.16.2011,36.03.16,36.03,36,16099.0,5319.0
31045,36.03.17.1001,36.03.17,36.03,36,17012.0,5880.0
31046,36.03.17.2010,36.03.17,36.03,36,12322.0,4240.0
31047,36.03.18.1003,36.03.18,36.03,36,11213.0,3969.0
31048,36.04.22.2014,36.04.22,36.04,36,3598.0,1091.0
31049,36.03.18.2004,36.03.18,36.03,36,14170.0,5016.0
31050,36.03.18.2006,36.03.18,36.03,36,13080.0,4313.0
31051,36.03.18.2007,36.03.18,36.03,36,15014.0,5168.0
31052,36.03.18.2008,36.03.18,36.03,36,8882.0,3226.0
31053,36.03.18.2009,36.03.18,36.03,36,10890.0,3836.0
31054,36.03.18.2011,36.03.18,36.03,36,14343.0,5038.0
31055,36.03.18.2012,36.03.18,36.03,36,19235.0,6164.0
31056,36.03.20.2002,36.03.20,36.03,36,9624.0,3187.0
31057,36.03.19.1002,36.03.19,36.03,36,20756.0,6494.0
31058,36.03.28.1004,36.03.28,36.03,36,18356.0,5913.0
31059,36.03.19.2001,36.03.19,36.03,36,11264.0,3849.0
31060,36.03.19.2005,36.03.19,36.03,36,8951.0,2994.0
31061,36.03.32.2001,36.03.32,36.03,36,4624.0,1673.0
31062,36.03.20.2003,36.03.20,36.03,36,13659.0,4488.0
31063,36.03.20.2004,36.03.20,36.03,36,7219.0,2343.0
31064,36.03.20.2008,36.03.20,36.03,36,6337.0,2105.0
31065,36.03.20.2010,36.03.20,36.03,36,7395.0,2469.0
31066,36.03.20.2012,36.03.20,36.03,36,6326.0,2078.0
31067,36.03.22.2003,36.03.22,36.03,36,10549.0,3371.0
31068,36.03.22.2005,36.03.22,36.03,36,6072.0,2084.0
31069,36.04.23.2012,36.04.23,36.04,36,2596.0,804.0
31070,36.03.22.2008,36.03.22,36.03,36,7537.0,2523.0
31071,36.03.22.2009,36.03.22,36.03,36,5431.0,1873.0
