,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Mayoritas,Minoritas,ISLAM,KRISTEN,KATOLIK,HINDU,BUDDHA,KONGHUCU,KEPERCAYAAN
30416,36.04.19.2002,36.04.19,36.04,36,3957.0,0.0,3957.0,0.0,0.0,0.0,0.0,0.0,0.0
30417,36.04.19.2004,36.04.19,36.04,36,5172.0,0.0,5172.0,0.0,0.0,0.0,0.0,0.0,0.0
30418,36.04.19.2009,36.04.19,36.04,36,2709.0,0.0,2709.0,0.0,0.0,0.0,0.0,0.0,0.0
30419,36.04.19.2010,36.04.19,36.04,36,2845.0,1.0,2845.0,0.0,1.0,0.0,0.0,0.0,0.0
30420,36.04.19.2013,36.04.19,36.04,36,2854.0,0.0,2854.0,0.0,0.0,0.0,0.0,0.0,0.0
30421,36.04.19.2014,36.04.19,36.04,36,3300.0,0.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0
30422,36.04.19.2015,36.04.19,36.04,36,1884.0,0.0,1884.0,0.0,0.0,0.0,0.0,0.0,0.0
30423,36.04.20.2001,36.04.20,36.04,36,4597.0,0.0,4597.0,0.0,0.0,0.0,0.0,0.0,0.0
30424,36.04.20.2003,36.04.20,36.04,36,5472.0,1.0,5472.0,0.0,1.0,0.0,0.0,0.0,0.0
30425,36.04.20.2006,36.04.20,36.04,36,3492.0,0.0,3492.0,0.0,0.0,0.0,0.0,0.0,0.0
30426,36.04.20.2008,36.04.20,36.04,36,5582.0,1.0,5582.0,1.0,0.0,0.0,0.0,0.0,0.0
30427,36.04.20.2009,36.04.20,36.04,36,2168.0,0.0,2168.0,0.0,0.0,0.0,0.0,0.0,0.0
30428,36.04.22.2003,36.04.22,36.04,36,5390.0,8.0,5390.0,2.0,6.0,0.0,0.0,0.0,0.0
30429,36.04.22.2004,36.04.22,36.04,36,4475.0,1.0,4475.0,1.0,0.0,0.0,0.0,0.0,0.0
30430,36.04.22.2005,36.04.22,36.04,36,2683.0,1.0,2683.0,0.0,1.0,0.0,0.0,0.0,0.0
30431,36.04.22.2007,36.04.22,36.04,36,4949.0,0.0,4949.0,0.0,0.0,0.0,0.0,0.0,0.0
30432,36.04.22.2010,36.04.22,36.04,36,3080.0,0.0,3080.0,0.0,0.0,0.0,0.0,0.0,0.0
30433,36.04.23.2002,36.04.23,36.04,36,5601.0,1.0,5601.0,1.0,0.0,0.0,0.0,0.0,0.0
30434,36.04.23.2005,36.04.23,36.04,36,4180.0,0.0,4180.0,0.0,0.0,0.0,0.0,0.0,0.0
30435,36.04.23.2006,36.04.23,36.04,36,3092.0,5.0,3092.0,5.0,0.0,0.0,0.0,0.0,0.0
30436,36.04.23.2007,36.04.23,36.04,36,5069.0,10.0,5069.0,10.0,0.0,0.0,0.0,0.0,0.0
30437,36.04.23.2008,36.04.23,36.04,36,5872.0,0.0,5872.0,0.0,0.0,0.0,0.0,0.0,0.0
30438,36.04.23.2010,36.04.23,36.04,36,2995.0,0.0,2995.0,0.0,0.0,0.0,0.0,0.0,0.0
30439,36.04.23.2014,36.04.23,36.04,36,2975.0,0.0,2975.0,0.0,0.0,0.0,0.0,0.0,0.0
30440,36.04.23.2016,36.04.23,36.04,36,4346.0,1.0,4346.0,1.0,0.0,0.0,0.0,0.0,0.0
30441,36.04.24.2001,36.04.24,36.04,36,5571.0,2.0,5571.0,1.0,1.0,0.0,0.0,0.0,0.0
30442,36.04.24.2002,36.04.24,36.04,36,5191.0,1.0,5191.0,0.0,1.0,0.0,0.0,0.0,0.0
30443,36.04.24.2004,36.04.24,36.04,36,4764.0,2.0,4764.0,0.0,2.0,0.0,0.0,0.0,0.0
30444,36.04.24.2018,36.04.24,36.04,36,3559.0,0.0,3559.0,0.0,0.0,0.0,0.0,0.0,0.0
30445,36.04.25.2002,36.04.25,36.04,36,5034.0,0.0,5034.0,0.0,0.0,0.0,0.0,0.0,0.0
30446,36.04.28.2010,36.04.28,36.04,36,7335.0,15.0,7335.0,15.0,0.0,0.0,0.0,0.0,0.0
30447,36.04.25.2004,36.04.25,36.04,36,5072.0,0.0,5072.0,0.0,0.0,0.0,0.0,0.0,0.0
30448,36.04.25.2005,36.04.25,36.04,36,5454.0,1.0,5454.0,1.0,0.0,0.0,0.0,0.0,0.0
30449,36.04.25.2009,36.04.25,36.04,36,2241.0,0.0,2241.0,0.0,0.0,0.0,0.0,0.0,0.0
